Time(Hours);EntityID;ObjectName;ProcessID;StepName;Action
42,6823635722956;--;--;--;--;The maximum number in system limit for entities of type 'Cliente' has been exceeded.
42,6823635722956;--;--;--;--;Possible causes:

